"Series";"Time";"Value"
"Average sig_qual";"2019-11-07T19:00:00-05:00";null
"Average sig_qual";"2019-11-08T19:00:00-05:00";null
"Average sig_qual";"2019-11-09T19:00:00-05:00";null
"Average sig_qual";"2019-11-10T19:00:00-05:00";91.953
"Average sig_qual";"2019-11-11T19:00:00-05:00";90.664
"Average sig_qual";"2019-11-12T19:00:00-05:00";95.164
"Average sig_qual";"2019-11-13T19:00:00-05:00";92.815
"Average sig_qual";"2019-11-14T19:00:00-05:00";95.321
"Average sig_qual";"2019-11-15T19:00:00-05:00";93.424
"Average sig_qual";"2019-11-16T19:00:00-05:00";92.811
"Average sig_qual";"2019-11-17T19:00:00-05:00";93.402
"Average sig_qual";"2019-11-18T19:00:00-05:00";94.99
"Average sig_qual";"2019-11-19T19:00:00-05:00";97.535
"Average sig_qual";"2019-11-20T19:00:00-05:00";96.405
"Average sig_qual";"2019-11-21T19:00:00-05:00";98.761
"Average sig_qual";"2019-11-22T19:00:00-05:00";99.258
"Average sig_qual";"2019-11-23T19:00:00-05:00";98.852
"Average sig_qual";"2019-11-24T19:00:00-05:00";97.749
"Average sig_qual";"2019-11-25T19:00:00-05:00";84.704
"Average sig_qual";"2019-11-26T19:00:00-05:00";94.306
"Average sig_qual";"2019-11-27T19:00:00-05:00";97.49
"Average sig_qual";"2019-11-28T19:00:00-05:00";98.572
"Average sig_qual";"2019-11-29T19:00:00-05:00";97.946
"Average sig_qual";"2019-11-30T19:00:00-05:00";98.552
"Average sig_qual";"2019-12-01T19:00:00-05:00";98.865
"Average sig_qual";"2019-12-02T19:00:00-05:00";98.843
"Average sig_qual";"2019-12-03T19:00:00-05:00";98.689
"Average sig_qual";"2019-12-04T19:00:00-05:00";97.237
"Average sig_qual";"2019-12-05T19:00:00-05:00";97.355
"Average sig_qual";"2019-12-06T19:00:00-05:00";96.604
"Average sig_qual";"2019-12-07T19:00:00-05:00";96.956
"Average sig_qual";"2019-12-08T19:00:00-05:00";96.228
"Average sig_qual";"2019-12-09T19:00:00-05:00";94.482
"Average sig_qual";"2019-12-10T19:00:00-05:00";98.261
"Average sig_qual";"2019-12-11T19:00:00-05:00";97.873
"Average sig_qual";"2019-12-12T19:00:00-05:00";96.705
"Average sig_qual";"2019-12-13T19:00:00-05:00";92.75
"Average sig_qual";"2019-12-14T19:00:00-05:00";92.878
"Average sig_qual";"2019-12-15T19:00:00-05:00";90.521
"Average sig_qual";"2019-12-16T19:00:00-05:00";92.462
"Average sig_qual";"2019-12-17T19:00:00-05:00";94.906
"Average sig_qual";"2019-12-18T19:00:00-05:00";96.544
"Average sig_qual";"2019-12-19T19:00:00-05:00";93.212
"Average sig_qual";"2019-12-20T19:00:00-05:00";92.238
"Average sig_qual";"2019-12-21T19:00:00-05:00";92.505
"Average sig_qual";"2019-12-22T19:00:00-05:00";91.665
"Average sig_qual";"2019-12-23T19:00:00-05:00";90.667
"Average sig_qual";"2019-12-24T19:00:00-05:00";90.668
"Average sig_qual";"2019-12-25T19:00:00-05:00";89.818
"Average sig_qual";"2019-12-26T19:00:00-05:00";91.188
"Average sig_qual";"2019-12-27T19:00:00-05:00";90.526
"Average sig_qual";"2019-12-28T19:00:00-05:00";90.459
"Average sig_qual";"2019-12-29T19:00:00-05:00";92.46
"Average sig_qual";"2019-12-30T19:00:00-05:00";91.037
"Average sig_qual";"2019-12-31T19:00:00-05:00";89.539
"Average sig_qual";"2020-01-01T19:00:00-05:00";90.527
"Average sig_qual";"2020-01-02T19:00:00-05:00";91.952
"Average sig_qual";"2020-01-03T19:00:00-05:00";91.802
"Average sig_qual";"2020-01-04T19:00:00-05:00";92.66
"Average sig_qual";"2020-01-05T19:00:00-05:00";91.763
"Average sig_qual";"2020-01-06T19:00:00-05:00";91.084
"Average sig_qual";"2020-01-07T19:00:00-05:00";91.864
"Average sig_qual";"2020-01-08T19:00:00-05:00";91.086
"Average sig_qual";"2020-01-09T19:00:00-05:00";89.915
"Average sig_qual";"2020-01-10T19:00:00-05:00";91.378
"Average sig_qual";"2020-01-11T19:00:00-05:00";93.448
"Average sig_qual";"2020-01-12T19:00:00-05:00";92.377
"Average sig_qual";"2020-01-13T19:00:00-05:00";93.93
"Average sig_qual";"2020-01-14T19:00:00-05:00";93.194
"Average sig_qual";"2020-01-15T19:00:00-05:00";91.869
"Average sig_qual";"2020-01-16T19:00:00-05:00";92.949
"Average sig_qual";"2020-01-17T19:00:00-05:00";93.235
"Average sig_qual";"2020-01-18T19:00:00-05:00";91.772
"Average sig_qual";"2020-01-19T19:00:00-05:00";93.129
"Average sig_qual";"2020-01-20T19:00:00-05:00";93.477
"Average sig_qual";"2020-01-21T19:00:00-05:00";93.628
"Average sig_qual";"2020-01-22T19:00:00-05:00";95.463
"Average sig_qual";"2020-01-23T19:00:00-05:00";92.387
"Average sig_qual";"2020-01-24T19:00:00-05:00";94.435
"Average sig_qual";"2020-01-25T19:00:00-05:00";93.473
"Average sig_qual";"2020-01-26T19:00:00-05:00";94.25
"Average sig_qual";"2020-01-27T19:00:00-05:00";91.508
"Average sig_qual";"2020-01-28T19:00:00-05:00";92.631
"Average sig_qual";"2020-01-29T19:00:00-05:00";91.46
"Average sig_qual";"2020-01-30T19:00:00-05:00";93.322
"Average sig_qual";"2020-01-31T19:00:00-05:00";95.379
"Average sig_qual";"2020-02-01T19:00:00-05:00";96.059
"Average sig_qual";"2020-02-02T19:00:00-05:00";95.613
"Average sig_qual";"2020-02-03T19:00:00-05:00";98.555
"Average sig_qual";"2020-02-04T19:00:00-05:00";97.984
"Average sig_qual";"2020-02-05T19:00:00-05:00";98.516
"Average sig_qual";"2020-02-06T19:00:00-05:00";96.911
"Average sig_qual";"2020-02-07T19:00:00-05:00";97.209
"Average sig_qual";"2020-02-08T19:00:00-05:00";97.678
"Average sig_qual";"2020-02-09T19:00:00-05:00";96.958
"Average sig_qual";"2020-02-10T19:00:00-05:00";94.519
"Average sig_qual";"2020-02-11T19:00:00-05:00";96.986
"Average sig_qual";"2020-02-12T19:00:00-05:00";93.448
"Average sig_qual";"2020-02-13T19:00:00-05:00";95.472
"Average sig_qual";"2020-02-14T19:00:00-05:00";96.778
"Average sig_qual";"2020-02-15T19:00:00-05:00";96.8
"Average sig_qual";"2020-02-16T19:00:00-05:00";94.918
"Average sig_qual";"2020-02-17T19:00:00-05:00";94.344
"Average sig_qual";"2020-02-18T19:00:00-05:00";94.093
"Average sig_qual";"2020-02-19T19:00:00-05:00";94.356
"Average sig_qual";"2020-02-20T19:00:00-05:00";94.697
"Average sig_qual";"2020-02-21T19:00:00-05:00";95.647
"Average sig_qual";"2020-02-22T19:00:00-05:00";94.694
"Average sig_qual";"2020-02-23T19:00:00-05:00";92.984
"Average sig_qual";"2020-02-24T19:00:00-05:00";88.493
"Average sig_qual";"2020-02-25T19:00:00-05:00";87.885
"Average sig_qual";"2020-02-26T19:00:00-05:00";96.939
"Average sig_qual";"2020-02-27T19:00:00-05:00";97.215
"Average sig_qual";"2020-02-28T19:00:00-05:00";91.181
"Average sig_qual";"2020-02-29T19:00:00-05:00";90.907
"Average sig_qual";"2020-03-01T19:00:00-05:00";91.281
"Average sig_qual";"2020-03-02T19:00:00-05:00";91.984
"Average sig_qual";"2020-03-03T19:00:00-05:00";93.09
"Average sig_qual";"2020-03-04T19:00:00-05:00";93.721
"Average sig_qual";"2020-03-05T19:00:00-05:00";91.935
"Average sig_qual";"2020-03-06T19:00:00-05:00";92.326
"Average sig_qual";"2020-03-07T19:00:00-05:00";92.073
"Average sig_qual";"2020-03-08T20:00:00-04:00";96.659
"Average sig_qual";"2020-03-09T20:00:00-04:00";93.761
"Average sig_qual";"2020-03-10T20:00:00-04:00";94.974
"Average sig_qual";"2020-03-11T20:00:00-04:00";93.883
"Average sig_qual";"2020-03-12T20:00:00-04:00";95.184
"Average sig_qual";"2020-03-13T20:00:00-04:00";67.522
"Average sig_qual";"2020-03-14T20:00:00-04:00";69.153
"Average sig_qual";"2020-03-15T20:00:00-04:00";70.596
"Average sig_qual";"2020-03-16T20:00:00-04:00";null
"Average sig_qual";"2020-03-17T20:00:00-04:00";null
"Average sig_qual";"2020-03-18T20:00:00-04:00";null
"Average sig_qual";"2020-03-19T20:00:00-04:00";null
"Average sig_qual";"2020-03-20T20:00:00-04:00";null
"Average sig_qual";"2020-03-21T20:00:00-04:00";null
"Average sig_qual";"2020-03-22T20:00:00-04:00";null
